
=== C Reference Spectrogram Dump (DSP only) ===
C_REF_BEGIN rows=49 cols=40
C_REF 160 1.640625000 0x3fd20000
C_REF 161 1.687500000 0x3fd80000
C_REF 162 2.546875000 0x40230000
C_REF 163 2.343750000 0x40160000
C_REF 164 2.250000000 0x40100000
C_REF 165 2.445312500 0x401c8000
C_REF 166 2.250000000 0x40100000
C_REF 167 2.226562500 0x400e8000
C_REF 168 2.234375000 0x400f0000
C_REF 169 1.570312500 0x3fc90000
C_REF 170 1.535156250 0x3fc48000
C_REF 171 1.519531250 0x3fc28000
C_REF 172 1.847656250 0x3fec8000
C_REF 173 2.726562500 0x402e8000
C_REF 174 3.218750000 0x404e0000
C_REF 175 2.765625000 0x40310000
C_REF 176 2.375000000 0x40180000
C_REF 177 2.492187500 0x401f8000
C_REF 178 2.335937500 0x40158000
C_REF 179 2.179687500 0x400b8000
C_REF 180 2.664062500 0x402a8000
C_REF 181 2.984375000 0x403f0000
C_REF 182 2.945312500 0x403c8000
C_REF 183 2.914062500 0x403a8000
C_REF 184 3.437500000 0x405c0000
C_REF 185 3.007812500 0x40408000
C_REF 186 2.820312500 0x40348000
C_REF 187 2.664062500 0x402a8000
C_REF 188 2.781250000 0x40320000
C_REF 189 3.015625000 0x40410000
C_REF 190 2.867187500 0x40378000
C_REF 191 3.078125000 0x40450000
C_REF 192 2.992187500 0x403f8000
C_REF 193 2.820312500 0x40348000
C_REF 194 3.500000000 0x40600000
C_REF 195 3.296875000 0x40530000
C_REF 196 3.539062500 0x40628000
C_REF 197 3.859375000 0x40770000
C_REF 198 3.757812500 0x40708000
C_REF 199 3.546875000 0x40630000
C_REF 200 2.054687500 0x40038000
C_REF 201 1.085937500 0x3f8b0000
C_REF 202 2.015625000 0x40010000
C_REF 203 2.203125000 0x400d0000
C_REF 204 2.078125000 0x40050000
C_REF 205 2.312500000 0x40140000
C_REF 206 1.539062500 0x3fc50000
C_REF 207 1.582031250 0x3fca8000
C_REF 208 2.054687500 0x40038000
C_REF 209 1.589843750 0x3fcb8000
C_REF 210 1.582031250 0x3fca8000
C_REF 211 1.855468750 0x3fed8000
C_REF 212 2.609375000 0x40270000
C_REF 213 2.585937500 0x40258000
C_REF 214 1.933593750 0x3ff78000
C_REF 215 2.445312500 0x401c8000
C_REF 216 2.953125000 0x403d0000
C_REF 217 3.234375000 0x404f0000
C_REF 218 3.093750000 0x40460000
C_REF 219 2.984375000 0x403f0000
C_REF 220 2.742187500 0x402f8000
C_REF 221 3.007812500 0x40408000
C_REF 222 3.007812500 0x40408000
C_REF 223 2.835937500 0x40358000
C_REF 224 3.000000000 0x40400000
C_REF 225 2.890625000 0x40390000
C_REF 226 2.945312500 0x403c8000
C_REF 227 2.960937500 0x403d8000
C_REF 228 3.328125000 0x40550000
C_REF 229 3.617187500 0x40678000
C_REF 230 2.906250000 0x403a0000
C_REF 231 2.734375000 0x402f0000
C_REF 232 3.062500000 0x40440000
C_REF 233 3.031250000 0x40420000
C_REF 234 3.453125000 0x405d0000
C_REF 235 3.195312500 0x404c8000
C_REF 236 3.281250000 0x40520000
C_REF 237 3.273437500 0x40518000
C_REF 238 3.242187500 0x404f8000
C_REF 239 3.437500000 0x405c0000
C_REF 240 0.921875000 0x3f6c0000
C_REF 241 0.759765625 0x3f428000
C_REF 242 2.046875000 0x40030000
C_REF 243 1.976562500 0x3ffd0000
C_REF 244 1.570312500 0x3fc90000
C_REF 245 2.289062500 0x40128000
C_REF 246 2.335937500 0x40158000
C_REF 247 2.359375000 0x40170000
C_REF 248 1.351562500 0x3fad0000
C_REF 249 1.347656250 0x3fac8000
C_REF 250 1.453125000 0x3fba0000
C_REF 251 1.898437500 0x3ff30000
C_REF 252 2.648437500 0x40298000
C_REF 253 2.843750000 0x40360000
C_REF 254 2.328125000 0x40150000
C_REF 255 2.515625000 0x40210000
C_REF 256 2.531250000 0x40220000
C_REF 257 2.351562500 0x40168000
C_REF 258 2.484375000 0x401f0000
C_REF 259 2.460937500 0x401d8000
C_REF 260 2.593750000 0x40260000
C_REF 261 2.726562500 0x402e8000
C_REF 262 2.617187500 0x40278000
C_REF 263 2.734375000 0x402f0000
C_REF 264 2.507812500 0x40208000
C_REF 265 2.679687500 0x402b8000
C_REF 266 2.492187500 0x401f8000
C_REF 267 2.335937500 0x40158000
C_REF 268 2.507812500 0x40208000
C_REF 269 2.812500000 0x40340000
C_REF 270 3.101562500 0x40468000
C_REF 271 3.023437500 0x40418000
C_REF 272 3.265625000 0x40510000
C_REF 273 3.593750000 0x40660000
C_REF 274 3.195312500 0x404c8000
C_REF 275 3.656250000 0x406a0000
C_REF 276 3.554687500 0x40638000
C_REF 277 3.468750000 0x405e0000
C_REF 278 3.382812500 0x40588000
C_REF 279 3.281250000 0x40520000
